	Item	FECHA INGRESO  INVENTARIO 	Nombre 	Peso  (ct) 	Color 	Calidad 	Cant.	Talla 	Medidas	Medidas	Imagen	 costo  T.madre 	 Precio COP	UBICACION 	ASESOR	ESTADO 	CAJA 
	22	31-oct-2025	Brasil	1.14	Verde Limón 	Estandar	1	Redonda	largo Ancho	0.0 0.0			$383,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	25	31-oct-2025	Las Emperatrices	0.41	Verde Menta	 Comercial  Fina	2	Cuadrada	largo Ancho	0.0 0.0			$166,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	28	31-oct-2025	Las 3 Marías	0.33	Verde Menta	 Comercial  Fina	3	Redonda	largo Ancho	0.0 0.0			$134,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	31	11-nov-2025	Alma Verde	0.48	Verde Limón 	Comercial  Superfina 	1	Cuadrada	largo Ancho	5.1 4.4			$222,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	33	11-nov-2025	Diosa de la Laguna 	0.45	Verde Limón 	Comercial  Superfina 	1	ovalo	largo Ancho	4 5			$291,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	35	11-nov-2025	Inspiracion Divina 	0.47	Verde Limón 	Comercial  Superfina 	1	ovalo	largo Ancho	4.9 4.1			$304,200	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	36	11-nov-2025	Lunera	0.46	Verde Limón 	 Comercial  superior	1	ovalo	largo Ancho	5.0 4.3			$205,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	39	11-nov-2025	Galaxia	0.55	Verde Limón 	 Comercial  superior	1	Redonda	largo Ancho	5,5			$254,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	40	11-nov-2025	Resplandor 	0.48	Verde Limón 	 Comercial  superior	1	Esmeralda	largo Ancho	5.6 4,2			$222,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	54	23-nov-2025	L:II-JA Bella	Plata	Verde Menta	Comercial  SuperFina 	1	5	largo Ancho	Anillo		$170,000	$425,000	ASESOR	J.M.Escobar	VENDIDA 	Pte legalizar
	1	31-oct-2025	Rey Midas	1.47	Verde  Natural	Comercial Fina	1	Esmeralda 	largo Ancho	0.0 0.0			$635,000	ASESOR	M.CAMPUZANO 	VENDIDA 	Pte legalizar 28-nov-2025
			TOTALES	4.36			22.00						10,868,200.00	 BOBEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	2	31-oct-2025	Las Niñas	0.43	Verde  Natural	Comercial Fina	2	Cuadrada	largo Ancho	0.0 0.0			$185,000	ASESOR	M.ECHEVERRY	VENDIDA 	Legalizada
	3	31-oct-2025	Las Margaritas	1.36	Verde  Natural	Comercial Fina	2	Esmeralda 	largo Ancho	0.0 0.0			$294,000	ASESOR	LA VIKINGA 	VENDIDA 	Pte legalizar
	4	31-oct-2025	Los Robles 	1.56	Verde  Natural	Comercial Fina	2	Esmeralda	largo Ancho	0.0 0.0			$674,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	5	31-oct-2025	Los Tulipanes 	1.26	Verde  Natural	Comercial Superior	2	Cuadrada	largo Ancho	0.0 0.0			$499,000	ASESOR	M.GOMEZ	VENDIDA 	Legalizada
	6	31-oct-2025	Jardín Escondido 	1.23	Verde  Natural	Comercial Superior	1	Cuadrada	largo Ancho	0.0 0.0			$443,000	ASESOR	M.RESTREPO	VENDIDA 	pte legalizar   28-nov-22025
	7	31-oct-2025	Trilogía 	1.43	Verde  Natural	Comercial Superior	3	Cuadrada	largo Ancho	0.0 0.0			$567,000	ASESOR	M.GOMEZ	VENDIDA 	Pte legalizar 5-dic-2025
	9	31-oct-2025	Turquesa 	0.66	Verde  Natural	Estandar	1	Esmeralda 	largo Ancho	0.0 0.0			$238,000	ASESOR	LA VIKINGA 	VENDIDA 	Legalizada
	11	31-oct-2025	Rosario	0.81	Verde  Natural	Estandar	1	Redonda	largo Ancho	0.0 0.0			$294,000	ASESOR	A.MOLANO	VENDIDA 	Legalizada
	13	31-oct-2025	Amazonas	0.41	Verde Limón 	Comercial Fina	1	Ovalo	largo Ancho	0.0 0.0			$166,000	ASESOR	LA VIKINGA 	VENDIDA 	Legalizada
	14	31-oct-2025	Leticia	0.33	Verde Limón 	Comercial Fina	1	Redonda	largo Ancho	0.0 0.0			$134,000	ASESOR	O.FLOREZ	VENDIDA 	Pte legalizar
	19	31-oct-2025	5 estrellas 	2.14	Verde Limón 	Comercial superior	5	Cuadrada	largo Ancho	0.0 0.0			$791,000	ASESOR	M.GOMEZ	VENDIDA 	Legalizada
	24	31-oct-2025	Aqua	0.44	Verde Limón 	Estandar	1	lagrima 	largo Ancho	0.0 0.0			$148,000	ASESOR	O.FLOREZ	VENDIDA 	Pte legalizar
	26	31-oct-2025	Madre e Hija	0.21	Verde Menta	 Comercial Fina	2	Esmeralda 	largo Ancho	0.0 0.0			$85,000	ASESOR	LA VIKINGA 	VENDIDA 	Legalizada
	27	31-oct-2025	Hijos de la Tierra	0.13	Verde Menta	 Comercial  superior	8	Redonda	largo Ancho	0.0 0.0			$418,000	ASESOR	M.CAMPUZANO 	DISPONIBLE 	
	32	11-nov-2025	Venus	0.43	Verde Limón 	Comercial  Superfina 	1	Esmeralda	largo Ancho	4 5			$199,000	ASESOR	A.MOLANO	VENDIDA 	Pte legalizar  8 dic-2025
	34	11-nov-2025	Gaia	0.55	Verde Limón 	Comercial  Superfina 	1	Redonda	Diametro	5,2			$274,000	ASESOR	A.MOLANO	VENDIDA 	Pte legalizar  8 dic-2025
	37	11-nov-2025	Ojo de Zeus	0.35	Verde Limón 	 Comercial  Final	1	Redonda	Diametro	4.8			$168,000	ASESOR	LA NEGRA	VENDIDA 	Pte Legalizar
																	
	41	12-nov-2025	Anillo Corona  ARE	Plata	Verde Menta	Plata -comercial	1	0	largo Ancho	Anillo			$380,000	ASESOR	M.RESTREPO	VENDIDA 	Legalizada
	43	13-nov-2025	Lote:23B ARE		Verde Menta	comercial	3	0	largo Ancho				$221,226	ASESOR	J.M.Escobar	VENDIDA 	Pte Legalizar
	44	14-nov-2025	Bombon Superpoderosa  ARE	1,64	Verde Natural	Comercial  SuperFina 	1	Esmeralda	largo Ancho	0.0 0.0		$5,368,000	$5,368,000	ASESOR	J.Florez	VENDIDA 	Pte legalizar  5 dic-2025
			TOTALES	13.73			40.00						11,546,226.00	 BOBEDA   OFI	M.CAMPUZANO 	DISPONIBLE 	
	86																
	87																
	88																
	89																
	90																
	91																
	92																
